year,month,inverter_id,inverter_group,lost_kwh,mean_residual_z,min_residual_z,mean_acute_residual_z,min_acute_residual_z,mean_factor,mean_relative_factor,strong_samples,outage_samples,slow_degradation_samples,fast_degradation_samples,curtailed_samples,error_samples,explained_fault_samples
2023,2,INV 01.04.027,INV 01.04,0.012812727601163587,-0.49504896392549513,-15.722324183403726,-0.5894952706245504,-12.907930161856399,1.0,1.0,0,0,0,0,1411,1,0
2023,2,INV 01.04.028,INV 01.04,0.0,-0.2053383382994775,-18.637398820381968,-0.2555849625226955,-18.104031291270825,1.0,1.0,0,0,0,0,1411,0,0
2023,2,INV 01.05.029,INV 01.05,0.0,-0.5758986994948594,-32.50127543827147,-0.683184548609294,-30.930207519751047,1.0,1.0,0,0,0,0,1411,0,0
2023,2,INV 01.05.030,INV 01.05,0.0,1.6083946624991883,-15.993035889150704,1.6737019563208504,-15.993035889150704,1.0,1.0,0,0,0,0,1138,0,0
2023,2,INV 01.05.031,INV 01.05,0.007415014174864046,-0.8464370739967183,-34.51384239907915,-1.0179339024368688,-30.751468693596312,1.0,1.0,0,0,0,0,1411,0,0
2023,2,INV 01.05.032,INV 01.05,0.0,0.01852338781890792,-13.035317199180307,-0.15768724387374594,-13.050629683115664,1.0,1.0,0,0,0,0,1409,2,0
2023,2,INV 01.05.033,INV 01.05,0.0,0.08987134281771182,-14.999748381296186,0.15757058739621577,-14.249383508729219,1.0,1.0,0,0,0,0,1411,0,0
2023,2,INV 01.05.034,INV 01.05,0.0,0.7075787193494609,-18.626575686747206,1.04838986764397,-18.27215118729253,1.0,1.0,0,0,0,0,1411,0,0
2023,2,INV 01.05.035,INV 01.05,0.005652999379405813,-0.8310433009871043,-17.949366851476366,-1.0715604656664732,-17.061709579819805,1.0,1.0,0,0,0,0,1411,9,0
2023,2,INV 01.06.036,INV 01.06,0.0,0.042261138173372376,-12.067701161172756,0.08116583347045536,-15.693036761263302,1.0,1.0,0,0,0,0,1492,6,0
2023,2,INV 01.06.037,INV 01.06,0.004900187599649127,-1.0805605211256315,-17.5368869684932,-1.3581501167153276,-19.962394401493977,1.0,1.0,0,0,0,0,1492,16,0
2023,2,INV 01.06.038,INV 01.06,0.0,-0.7483246484982881,-12.306640334663298,-0.7863258608642472,-15.872462987003594,1.0,1.0,0,0,0,0,1492,0,0
2023,2,INV 01.06.039,INV 01.06,0.09328838978370453,-0.9792408658032093,-18.06750991323887,-0.8656640183792066,-7.239049142306473,1.0,1.0,0,0,0,0,1492,0,0
2023,2,INV 01.06.040,INV 01.06,0.0,-0.31647490176558246,-22.370450927853312,-0.5195018774107354,-50.13533994571661,1.0,1.0,0,0,0,0,1492,0,0
2023,2,INV 01.06.041,INV 01.06,0.0,-0.13008707546204717,-14.206751744033735,-0.1783790836415225,-22.028223481671002,1.0,1.0,0,0,0,0,1492,0,0
2023,2,INV 01.06.042,INV 01.06,0.0,-0.9740832146604972,-10.38937904334993,-0.9947702789949201,-10.74215776852318,1.0,1.0,0,0,0,0,1492,0,0
2023,2,INV 01.06.043,INV 01.06,0.09422829770743142,-0.9062526261469709,-16.827140554222307,-0.8497105215366872,-8.995635238849884,1.0,1.0,0,0,0,0,1492,4,0
2023,2,INV 01.07.044,INV 01.07,0.0,0.2698408843671842,-12.775252375093727,0.44212176118356605,-23.227161412997546,1.0,1.0,0,0,0,0,1492,0,0
2023,2,INV 01.07.045,INV 01.07,0.08856340981560301,-1.0831301354410536,-10.864015510904355,-1.6639012138550155,-18.909209643026884,1.0,1.0,0,0,0,0,1492,0,0
2023,2,INV 01.07.046,INV 01.07,0.0,-0.98396388902994,-14.556010205266821,-1.1784066280054946,-15.169102876165411,1.0,1.0,0,0,0,0,1492,0,0
2023,2,INV 01.07.047,INV 01.07,0.2543072877416525,-2.1631947750505915,-28.57727523339888,-2.151419081433223,-8.974078217347788,1.0,1.0,0,0,0,0,1492,1,0
2023,2,INV 01.07.048,INV 01.07,0.0,-0.06855238977680168,-14.249368625553332,-0.12526695075112593,-30.175117578172504,1.0,1.0,0,0,0,0,1492,0,0
2023,2,INV 01.07.049,INV 01.07,0.0,-0.41688702934594113,-11.852065533331023,-0.5237958284856167,-13.126146389823269,1.0,1.0,0,0,0,0,1385,0,0
2023,2,INV 01.07.050,INV 01.07,0.0,-0.6570899134934535,-11.13753908024102,-0.7016355328786107,-12.32218562067944,1.0,1.0,0,0,0,0,1492,0,0
2023,2,INV 01.07.051,INV 01.07,0.13201203183596033,-1.7950905013923124,-19.120879610423955,-1.745678841619929,-8.57217377913857,1.0,1.0,0,0,1,0,1492,0,0
2023,2,INV 01.08.052,INV 01.08,0.004705528425053303,-1.4900767120175449,-12.274710670631203,-1.8334501713973954,-13.852542011481946,1.0,1.0,0,0,0,0,1492,0,0
